,count,mean,median,min,max,range,variance,std_dev,skewness,kurtosis,5th_percentile,10th_percentile,25th_percentile,50th_percentile,75th_percentile,90th_percentile,95th_percentile,iqr,coefficient_of_variation,mad
price,90.0,1769636.3333333333,850000.0,85000.0,13000000.0,12915000.0,5653988309326.8545,2377811.66397317,2.659195032627284,7.784923136656154,172500.0,250000.0,385000.0,850000.0,2074250.0,4235000.000000003,7000000.0,1689250.0,1.3436724931468047,1572060.5629629632
area,90.0,437087.31111111114,138000.0,9897.0,11217757.0,11207860.0,1652466130699.0264,1285482.8395194649,7.079418643703979,57.081299467131664,26475.0,32560.0,70975.0,138000.0,307240.25,607700.0000000003,1688884.1499999987,236265.25,2.941020722499731,499841.63654320996
price_per_sqm,90.0,15.504278847627365,5.662393162393162,0.11833427935015547,115.03697617091208,114.91864189156193,514.9359906846165,22.692201098276396,2.546861723826668,7.212515046536106,0.7030272192394522,0.8989749023397546,2.288657604078165,5.662393162393162,22.503807259361146,40.58995025856059,58.81884881895155,20.215149655282982,1.4636089379770802,15.7186746331647
crop_yield,90.0,62.75555555555555,70.0,40.0,73.0,33.0,118.29912609238426,10.876540171046317,-0.9982807091125002,-0.5043778016878875,40.0,46.0,55.25,70.0,70.0,71.10000000000001,73.0,14.75,0.17331597298055393,9.448395061728393
capital_distance,90.0,89.54444444444445,64.5,0.0,515.0,515.0,7676.722721598003,87.61690887949656,1.7292499838222295,5.045770237552588,7.0,10.9,20.0,64.5,147.75,190.0,232.55,127.75,0.9784739792970207,68.2977777777778
elevator_distance,90.0,57.65555555555556,37.0,1.5,299.0,297.5,3446.3463171036187,58.70559016911097,2.4252910735240865,5.795201188670669,15.45,20.9,25.0,37.0,57.75,117.3000000000002,210.49999999999997,32.75,1.018212201815376,38.998271604938274
