,count,mean,median,min,max,range,variance,std_dev,skewness,kurtosis,5th_percentile,10th_percentile,25th_percentile,50th_percentile,75th_percentile,90th_percentile,95th_percentile,iqr,coefficient_of_variation,mad
price,57.0,1299618.7719298245,590000.0,85000.0,10100000.0,10015000.0,3540815999085.9634,1881705.6090382372,3.0066125951803477,10.249417980469534,122000.0,230000.00000000003,300000.0,590000.0,1500000.0,3000000.0,4659999.999999997,1200000.0,1.4478904504003607,1193008.8027085257
area,57.0,614365.3859649122,190000.0,25800.0,11217757.0,11191957.0,2481095513098.527,1575149.3621553883,5.839121260575926,38.058620703039075,79600.0,94400.0,120000.0,190000.0,408000.0,1077999.9999999995,2347038.199999999,288000.0,2.563864107808555,676178.0320098492
price_per_sqm,57.0,4.698116835351531,3.0,0.11833427935015547,34.883720930232556,34.7653866508824,34.86933091892214,5.905025903323552,3.1336056549247355,12.441695520581725,0.5606242496998799,0.8607221812822402,1.243781094527363,3.0,5.363636363636363,10.0,14.14041083829127,4.119855269109,1.2568920932086007,3.7594886872474556
crop_yield,57.0,58.56140350877193,59.0,40.0,73.0,33.0,139.17919799498762,11.79742336253928,-0.24853559700359298,-1.3970582921766872,40.0,40.0,49.0,59.0,71.0,73.0,73.0,22.0,0.20145390403377442,10.317020621729762
capital_distance,57.0,129.9298245614035,111.0,17.0,515.0,498.0,7521.744987468672,86.72799425484641,1.6777736832293377,5.671777980591853,21.0,32.0,65.0,111.0,186.0,227.2,241.5999999999999,121.0,0.667498740551748,65.32717759310557
elevator_distance,57.0,73.6140350877193,44.0,16.0,299.0,283.0,4613.705513784463,67.92426307133897,1.853871865563499,2.7489613082736115,22.0,23.0,32.0,44.0,85.0,172.5999999999999,230.79999999999984,53.0,0.9227080541149478,49.63373345644814
